n,p1,p2,nq,q,k,path_length,converged
100,0.5431215481815791,0.1,300,0.0,2,0.0,1.0
100,0.5431215481815791,0.1,300,0.01,2,0.2650613226452906,1.0
100,0.5431215481815791,0.1,300,0.02,2,2.3409410821643286,1.0
100,0.5431215481815791,0.1,300,0.03,2,2.1991775551102206,1.0
100,0.5431215481815791,0.1,300,0.04,2,2.0939831663326656,1.0
100,0.5431215481815791,0.1,300,0.05,2,2.014864128256513,1.0
100,0.5431215481815791,0.1,300,0.06,2,1.9575414829659317,1.0
100,0.5431215481815791,0.1,300,0.07,2,1.9201098196392785,1.0
100,0.5431215481815791,0.1,300,0.08,2,1.8946132264529059,0.7
100,0.5431215481815791,0.1,300,0.09,2,1.8791951903807615,0.2
100,0.5431215481815791,0.1,300,0.1,2,1.8667599198396796,0.1
100,0.5431215481815791,0.1,300,0.11,2,1.85774749498998,0.0
100,0.5431215481815791,0.1,300,0.12,2,1.8478052104208416,0.0
100,0.5431215481815791,0.1,300,0.13,2,1.8391751503006009,0.0
100,0.5431215481815791,0.1,300,0.14,2,1.8317507014028056,0.0
100,0.5431215481815791,0.1,300,0.15,2,1.8232961923847693,0.0
100,0.5431215481815791,0.1,300,0.16,2,1.8141130260521041,0.0
100,0.5431215481815791,0.1,300,0.17,2,1.806303006012024,0.0
100,0.5431215481815791,0.1,300,0.18,2,1.797629659318637,0.0
100,0.5431215481815791,0.1,300,0.19,2,1.7894997995991986,0.0
100,0.5431215481815791,0.1,300,0.2,2,1.7806805611222445,0.0
100,0.5431215481815791,0.1,300,0.21,2,1.7723855711422847,0.0
100,0.5431215481815791,0.1,300,0.22,2,1.7645450901803605,0.0
100,0.5431215481815791,0.1,300,0.23,2,1.7559142284569138,0.0
100,0.5431215481815791,0.1,300,0.24,2,1.7470084168336673,0.0
100,0.5431215481815791,0.1,300,0.25,2,1.7386973947895794,0.0
100,0.5431215481815791,0.1,300,0.26,2,1.7295831663326655,0.0
100,0.5431215481815791,0.1,300,0.27,2,1.7219118236472943,0.0
100,0.5431215481815791,0.1,300,0.28,2,1.713960721442886,0.0
100,0.5431215481815791,0.1,300,0.29,2,1.7041899799599196,0.0
100,0.5431215481815791,0.1,300,0.3,2,1.6958108216432866,0.0
100,0.5431215481815791,0.1,300,0.31,2,1.6884256513026052,0.0
100,0.5431215481815791,0.1,300,0.32,2,1.6794292585170338,0.0
100,0.5431215481815791,0.1,300,0.33,2,1.6716921843687373,0.0
100,0.5431215481815791,0.1,300,0.34,2,1.6625482965931861,0.0
100,0.5431215481815791,0.1,300,0.35000000000000003,2,1.6541739478957918,0.0
100,0.5431215481815791,0.1,300,0.36,2,1.6464697394789582,0.0
100,0.5431215481815791,0.1,300,0.37,2,1.638046492985972,0.0
100,0.5431215481815791,0.1,300,0.38,2,1.6297963927855712,0.0
100,0.5431215481815791,0.1,300,0.39,2,1.621714629258517,0.0
100,0.5431215481815791,0.1,300,0.4,2,1.6127334669338675,0.0
100,0.5431215481815791,0.1,300,0.41000000000000003,2,1.6045010020040078,0.0
100,0.5431215481815791,0.1,300,0.42,2,1.5960905811623247,0.0
100,0.5431215481815791,0.1,300,0.43,2,1.5875038076152304,0.0
100,0.5431215481815791,0.1,300,0.44,2,1.5786925851703406,0.0
100,0.5431215481815791,0.1,300,0.45,2,1.5709490981963927,0.0
100,0.5431215481815791,0.1,300,0.46,2,1.5620769539078156,0.0
100,0.5431215481815791,0.1,300,0.47000000000000003,2,1.5540184368737473,0.0
100,0.5431215481815791,0.1,300,0.48,2,1.5454781563126252,0.0
100,0.5431215481815791,0.1,300,0.49,2,1.5370933867735475,0.0
100,0.5431215481815791,0.1,300,0.5,2,1.5291374749498998,0.0
